partnerId,partnerName,centerId,address,pincode,locality,Remarks 
774,Max Healthcare,16366,"A364, A Block, Pocket A, Sector 19, Noida, Uttar Pradesh 201301",201301,Sector 19,
774,Max Healthcare,17831,"B Block, Sushant Lok 1, Near Huda City Centre MF Husain Marg Near Huda City Centre, Sector 43, Gurugram, Haryana 122001",122002,Sector 27,
774,Max Healthcare,21989,"Max Super Speciality Hospital, Sector 128, Noida, Jaypee Hospital Rd, Goberdhanpur, Sector 128, Noida, Uttar Pradesh 201304, India",201304,Noida,
775,Artemis Hospital,777,"Oppulence Villas, Wazirabad Road, Sector 51, Gurugram, Haryana. 25 m from Blood Bank pin-122003 (India)",122003,Sector 51,
776,Medanta Hospital,778,"Medanta Mediclinic | Cybercity, Building No, 10C, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",122002,Gurugram,
776,Medanta Hospital,3108,"E-18, Block E, Defence Colony, New Delhi, Delhi 110024",110024,Defence Colony,
776,Medanta Hospital,4947,"Medanta Mediclinic - Subhash Chowk, Plot No.- 743 P, Islampur Village, Sector 38, Gurugram, Haryana 122018, India",122018,Gurugram,
776,Medanta Hospital,18490,"Medanta Mediclinic - Golf Course, Plot No. 562SP, Golf Course Rd, Sector 27, Gurugram, Haryana 122001, India",122001,Gurugram,
776,Medanta Hospital,18755,"Golf Course Road, Golf Crse Rd, Sector 28, Chakkarpur, Sector 27, Gurugram, Haryana 122002, India",122002,Gurugram,
776,Medanta Hospital,18757,"Golf Course Road, Saraswathi Kunj, 79, Golf Crse Rd, near Porsche Showroom, Parsvnath Exotica, Sector 53, Gurugram, Haryana 122001, India",122001,Gurugram,
776,Medanta Hospital,19604,"Medanta - The Medicity, Gurugram, Medanta- The Medicity, CH Baktawar Singh Rd, Medicity, Islampur Colony, Sector 38, Gurugram, Haryana 122018, India",122018,Gurugram,
776,Medanta Hospital,24777,"Dr. Shahzeene Dhuria - Clinical Immunologist and Rheumatologist | Medanta Hospitals, Lucknow, Medanta Hospital, Amar Shaheed Path, Golf City, Pocket - 1, Sector A, Lucknow, Muzaffar Nagar Ghusval, Uttar Pradesh 226030, India",226030,Lucknow,
779,Metro Group Of Hospitals,780,"75, Noida Road, Block D, Sector 12, Noida, Uttar Pradesh. 47 m from Saraswati Shishu Mandir pin-201301 (India)",201301,Sector 12,
779,Metro Group Of Hospitals,781,"Gaursons Sanskriti Vihar, Narmada Marg, Block D, Sector 11, Noida, Uttar Pradesh. 21 m from Food Club pin-201301 (India)",201301,Sector 11,
860,Medall Diagnostics,820,"58/6, Jawaharlal Nehru Rd, Vadapalani, Chennai, Tamil Nadu 600026",600026,Vadapalani,
860,Medall Diagnostics,829,"Krishna Quoin, 80 Feet Road, HAL 3rd Stage, New Tippasandra, Opp. Veer Hanuman Temple, Indiranagar",560075,Indiranagar,
860,Medall Diagnostics,832,"No.1215 CH12 & 1215/A CH12A, New Kantharaj Urs Rd, Krishnamurthy Puram, Mysuru, Karnataka 570004",570005,Mysore,
860,Medall Diagnostics,835,"door no. 17-11-3/4,Dr GKS mansion, Official Colony, Krishna Nagar, Maharani Peta, Visakhapatnam, And",530001,Vizag,
860,Medall Diagnostics,9405,"Sri, 68, Lakshmi Towers, 150/3, 9th Main Rd, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",560011,Jayanagar,
860,Medall Diagnostics,10133,"No.1215 CH12 & 1215/A CH12A, New Kantharaj Urs Rd, Krishnamurthy Puram, Mysuru, Karnataka 570004",570004,Krishnamurthypuram,
860,Medall Diagnostics,10554,"48, Mahatma Gandhi Rd, RBI Colony, Shastri Nagar, Adyar, Chennai, Tamil Nadu 600041",600020,Thiruvanmiyur,
860,Medall Diagnostics,13441,"3, D. 533002 1-15, 1, Bhanugudi Jct, Sriram Nagar, G O Colony, Kakinada, Andhra Pradesh 533003",533003,Kondayya Palem Gate,
860,Medall Diagnostics,14272,"Shop No-20/3 & 4,Indra Devi Complex,Gopalakrishna St, Near Rohini International,Parthasarathi Puram",600017,T Nagar,
860,Medall Diagnostics,14337,"110/111 Burma Colony, Rajiv Gandhi Salai (OMR), Perungudi, Chennai, Tamil Nadu 600096",600096,Perungudi,
860,Medall Diagnostics,14446,"door no. 17-11-3/4,Dr GKS mansion, Official Colony, Krishna Nagar, Maharani Peta, Visakhapatnam, And",530001,Vizag,
860,Medall Diagnostics,14616,"North Bypass Road, Vanarapettai, Tirunelveli, Tamil Nadu. 46 m from Chennai Sweets pin-627003 (India)",627003,Barani Nagar,
860,Medall Diagnostics,15740,"48, Mahatma Gandhi Rd, RBI Colony, Shastri Nagar, Adyar, Chennai, Tamil Nadu 600041",600041,Thiruvanmiyur,
860,Medall Diagnostics,15903,"64/3, Vadapalani Flyover, Sarah Plaza, Vivekananda Colony, Vadapalani, Chennai, Tamil Nadu. 11 m from Sree Lighting Company, Pin-600026 (India)",600026,Vadapalani,
860,Medall Diagnostics,15905,"Poonamallee High Road, near, 191, Taylors Rd, Kilpauk, Chennai, Tamil Nadu 600010",600031,Chetpet,
860,Medall Diagnostics,17251,"191, Poonamallee High Road, near, Taylors Rd, Kilpauk, Chennai, Tamil Nadu 600010",600010,Kilpauk,
860,Medall Diagnostics,17254,"Medall Care Center, New Military Rd, Kasturba Nagar,  Avadi, Tamil Nadu 600054",600054,Avadi,
860,Medall Diagnostics,17255,"Sri Kapaleeswarar Nagar, Neelankarai, Chennai, Tamil Nadu 600115",600115,Injambakkam,
860,Medall Diagnostics,17256,"Old No 26, New No 35, Vedachalam Nagar, Alagesan street, Chengalpattu - 603001",603111,Chengalpattu,
860,Medall Diagnostics,17257,"C104, 11th Cross East, Thillai Nagar, Trichy - 621018",620018,Gandhi Puram,
860,Medall Diagnostics,17258,"Door no 50,Grand Plaza, South Bye Pass Road,Backside of New Bus stand,Tirunelveli -627005.",627005,Mohammed Nagar,
860,Medall Diagnostics,17259," Lakshmi Towers, 68/150/3 Sri, 9th Main Rd, Jayanagar East, Jayanagar, Bengaluru, Karnataka 560011",560029,Jayanagar East,
860,Medall Diagnostics,17260,"Krishna Quoin, 80 Feet Road, HAL 3rd Stage, New Tippasandra, Opp. Veer Hanuman Temple, Indiranagar, Bengaluru, Karnataka 560038",560038,Indiranagar,
860,Medall Diagnostics,17261,"Old No 66 & New No 1, 2nd Main Road, Bashyam Circle, Sankey Cross Road Malleswaram, Gayathri Devi Park Extension, Kodandarampura, Sadashiva Nagar, Bengaluru, Karnataka 560003",560003,Malleshwaram,
860,Medall Diagnostics,17263,"No.1215 CH12 & 1215/A CH12A, New Kantharaj Urs Rd, Krishnamurthy Puram, Mysuru, Karnataka 570004",570004,KR Mohalla,
860,Medall Diagnostics,17264,"Unnamed Road, Gopikrishna Colony, Turangi, Kakinada, Andhra Pradesh. 6 m from Vet Medicals, Pin-533002 (India)",533002,Turangi,
860,Medall Diagnostics,17265,"D.No.17-11-3/4, Dr GKS Mansion, Official Colony, Maharanipeta, Visakhapatnam -530002",530002,Maharanipeta,
860,Medall Diagnostics,17266,"Medall Healthcare Pvt Ltd, 5/28, Opp Joy Alukkas Show room, Kurnool road, Ongole - 52300",523225,Sai Nagar Ongole,
860,Medall Diagnostics,17267,"D NO 46 773 - A OPP GOVT General Hospital, Buthawarpet , Kurnool 518002",518002,Buthawarpet,
860,Medall Diagnostics,20038,"Medall Diagnostics Tirunelveli, 50,Grand Plaza, Backside of New, Bus stand, South Bye Pass Road, opposite to Passport Office, Vasanth Nagar, Tirunelveli, Tamil Nadu 627005, India",627005,Tirunelveli,
860,Medall Diagnostics,20040,"New Kantharaj Urs Road, New Kantharaj Urs Rd, Krishnamurthy Puram, Mysuru, Karnataka, India",570004,Mysuru,
860,Medall Diagnostics,20041,"Official Colony, Official Colony, Krishna Nagar, Maharani Peta, Visakhapatnam, Andhra Pradesh 530002, India",530002,Visakhapatnam,
860,Medall Diagnostics,20042,"76/35, 76/35, Vedachalam Nagar, Gokulapuram, Chengalpattu, Tamil Nadu 603001, India",603001,Gokulapuram,
860,Medall Diagnostics,20044,"Medall Diagnostics, Kurnool, Plot no -8, survey no -104, ward no-40 , Ground floor, 2 A1, 2nd road, Gypson Colony, Gandhi Nagar, Kurnool, Andhra Pradesh 518002, India",518002,Kurnool,
860,Medall Diagnostics,20045,"JOY Hospital, Station road, 1st lane, Cloughpet, East Kammapalem, Ongole, Andhra Pradesh 523001, India",523001,Ongole,
860,Medall Diagnostics,20046,"80 Feet Road, 80 Feet Rd, New LIG Colony, Anna Nagar, Sathamangalam, Madurai, Tamil Nadu, India",625020,Sathamangalam,
860,Medall Diagnostics,20047,"1-15-13/1, 1-15-13/1, Sriram Nagar, Kondayya Palem, Kakinada, Andhra Pradesh 533002, India",533002,Kakinada,
863,Aarthi Scans And Labs,793,"4/48, Amman Koil Street, Vadapalani, Chennai, Tamil Nadu. 20 m from Chennai Middle School pin-600026 (India)",600026,Vadapalani,
863,Aarthi Scans And Labs,794,"766, Poonamallee High Rd, Alagappa Nagar, New Bupathy Nagar, Kilpauk, Chennai, Tamil Nadu 600010",600010,Kilpauk,
863,Aarthi Scans And Labs,797,"258, Watkins Street, Perambur, Chennai, Tamil Nadu. 8 m from LKS Jewels pin-600011 (India)",600011,Perambur,
863,Aarthi Scans And Labs,798,"4/13, Elumalai Street, New Market Area, Tambaram West, Chennai, Tamil Nadu. 40 m from Aarthi Scans & Labs pin-600045 (India)",600045,Tambaram West,
863,Aarthi Scans And Labs,800,"328/46A, Velachery Main Road, Orandiamman Koil Avenue, Velachery, Chennai, Tamil Nadu. 26 m from SG Industries pin-600042 (India)",600042,Velachery,
863,Aarthi Scans And Labs,801,"11, 13th Main Road, Nehru Nagar, Anna Nagar West, Chennai, Tamil Nadu. 9 m from SMT Wastepaper Mart pin-600040 (India)",600040,Anna Nagar West,
863,Aarthi Scans And Labs,802,"2, Engineering Work Shop, Malik Street, Chambers Colony, Chromepet, Chennai, Tamil Nadu. 25 m from Daisy Hospital pin-600044 (India)",600044,Chromepet,
863,Aarthi Scans And Labs,804,"20, Medavakkam Main Rd, Bharat Nagar, Madipakkam, Chennai, Tamil Nadu 600091",600091,Keelkattalai,
863,Aarthi Scans And Labs,805,"158, 17th Cross Road, Block 3, Jayanagar, Bengaluru, Karnataka. 5 m from Cool Curve Clinics pin-560011 (India)",560011,Jayanagar,
863,Aarthi Scans And Labs,806,"465, Krishana Temple Road, Stage 1, Indiranagar, Bengaluru, Karnataka. 14 m from Ayurveda Shops pin-560038 (India)",560038,Indiranagar,
863,Aarthi Scans And Labs,807,"1025, 20th Main Road, Jedehalli, Rajaji Nagar, Bengaluru, Karnataka. 6 m from SV Productions pin-560010 (India)",560010,Rajaji Nagar,
863,Aarthi Scans And Labs,808,"AARTHI SCANS & LABS | PADMANABHANAGAR | DIAGNOSTIC CENTER, 17, Subramanya Pura Rd, RK Layout 1st Stage, Padmanabhanagar, Bengaluru, Karnataka 560061, India",560061,Bengaluru,
863,Aarthi Scans And Labs,809,"6-3-347/12/1/12/9, Sai Baba Temple Road, Dwarkapuri, Punjagutta, Hyderabad, Telangana. 20 m from Live Inn Mens Deluxe Hostel pin-500082 (India)",500082,Punjagutta,
863,Aarthi Scans And Labs,810,"149, Road Number 1, Phase 2, KPHB Colony, Kukatpally, Hyderabad, Telangana. 16 m from Axis Bank pin-500072 (India)",500072,Kukatpally,
863,Aarthi Scans And Labs,811,"Vinayaka Residency Pvt Ltd, Hyderabad Vijayawada Highway, Gaddiannaram, Dilsukhnagar, Hyderabad, Telangana. 3 m from IndusInd Bank pin-500060 (India)",500060,Dilsukhnagar,
863,Aarthi Scans And Labs,812,"41/B, Rajiv Rahadaari Road, Vasavi Nagar Colony, Karkhana, Secunderabad, Telangana. 10 m from Damodar Rao Clinic pin-500015 (India)",500015,Karkhana,
863,Aarthi Scans And Labs,813,"Shop No. 1 Lower Ground Floor C. S. Nos. 202(Pt), 240, 416, 417(Pt) and 423(Pt, Acharya Donde Marg, Parel Village, Parel, Mumbai, Maharashtra 400012",400012,Parel,
863,Aarthi Scans And Labs,814,"Nityanand CHS 2, Sahar Airport Road, Andheri East, Mumbai, Maharashtra. 17 m from Sudarshan Ispat Udyog pin-400069 (India)",400069,Andheri East,
863,Aarthi Scans And Labs,815,"4, Lal Sai Mandir Marg, Block C1, Janakpuri, New Delhi, Delhi. 16 m from Suraksha Arogyam Anandam pin-110058 (India)",110058,Janakpuri,
863,Aarthi Scans And Labs,816,"140, Sector Road, HUDA Market, Sector 15 Part 2, Gurugram, Haryana. 25 m from Life Line Health Care Hospital pin-122001 (India)",122001,Sector 15 Part 2,
863,Aarthi Scans And Labs,817,"Wing C, V Chowgule Marg, Satra Park, Borivali West, Mumbai, Maharashtra. 47 m from Manyavar pin-400092 (India)",400092,Borivali West,
863,Aarthi Scans And Labs,1048,"C-1, Anand Vihar, Vikas Marg Extension Next to RBL bank and, opp. Pushpanjali Medical Centre, Delhi ",110092,KARKARDOOMA,
863,Aarthi Scans And Labs,2836,"Metro Pillar No 127, 11-B/1, Pusa Rd, Block 11, Old Rajinder Nagar, Karol Bagh, Delhi, 110060",110060,PUSA ROAD,
863,Aarthi Scans And Labs,2861,"6, Sambhunath Pandit St, behind SSKM Hospital, opposite Gurudwara, Bhowanipore, Kolkata, West Bengal",700025,Bhawanipore,
863,Aarthi Scans And Labs,4017,"T.C No. 6/3964 LASA COMPLEX  Ulloor junction Bus stop opposite  Medical college post Thiruvananthapuram, Kerala 695011",695011,Ulloor,
863,Aarthi Scans And Labs,4323,"520/3, MTH Road, Ambattur OT, near SHAH Electronics, West Krishnapuram, Chennai, Tamil Nadu 600053",600053,Ambattur,
863,Aarthi Scans And Labs,4365,"242, Samba St, Tenkasi, Tamil Nadu 627811",627811,Tenkasi,
863,Aarthi Scans And Labs,4367,"14-D, Santhai Pettai Street, V.O.C. Nagar, Kadershan Koil, Kovilpatti, Tamil Nadu 628501",628501,VOC Nagar Kadershan Koil,
863,Aarthi Scans And Labs,6057,"6, Sambhunath Pandit St, behind SSKM Hospital, opposite Gurudwara, Bhowanipore, Kolkata, West Bengal",700020,Bhawanipore,
863,Aarthi Scans And Labs,6716,"41/B, Rajiv Rahadaari Road, Vasavi Nagar Colony, Karkhana, Secunderabad, Telangana. 10 m from Damodar Rao Clinic pin-500015 (India)",500036,Asmangadh,
863,Aarthi Scans And Labs,7147,"SHOP NO 1, 2 AND OFFICE NO. 7, ON GROUND FLOOR, Audumber Haritage, 430/1, Mangalwar Peth Rd, Mangalwar Peth, Kasba Peth, Pune, Maharashtra 411011",411011,Mangalwar Peth,
863,Aarthi Scans And Labs,7149,"Sri Raghavendra Layout, Silver Springs Layout Rd Munnekolala, Varthur, Hobli, Marathahalli, Bengaluru, Karnataka 560037",560037,Marathahalli,
863,Aarthi Scans And Labs,7152,"Plot no. 8, 1-363/30, opp. Galaxy theatre, Aditya Nagar Colony, Surya Nagar, Toli Chowki, Hyderabad, Telangana 500008",500008,Tolichowki,
863,Aarthi Scans And Labs,7153,"Imtiyaz plaza, 20-4-209/1/42, Shah Ali Banda New Rd, opp. Gowtham model school Hyderabad, Zohra Colony, Shalibanda, Hyderabad, Telangana 500065",500065,Shah Ali Banda,
863,Aarthi Scans And Labs,7155,"4, Dr Thangaraj Rd, Mellur, K.K. Nagar, Tallakulam, Madurai, Tamil Nadu 625020",625020,K.K. Nagar,
863,Aarthi Scans And Labs,7157,"Shop No. 48, Ground floor,BIG SPLASH complex, Sector 17, Navi Mumbai, Maharashtra 400703",400703,Vashi,
863,Aarthi Scans And Labs,7158,"160, Bussy St, Chinnakadai, MG Road Area, Puducherry, 605001",605001,MG Road Area,
863,Aarthi Scans And Labs,7161,"64, Kamaraj Nagar 2nd Street, Near Old Bustand, Rajapalayam, Tamil Nadu 626117",626117,Kamaraj Nagar,
863,Aarthi Scans And Labs,7162,"242, Samba St, Tenkasi, Tamil Nadu 627811",627814,Samba,
863,Aarthi Scans And Labs,7163,"22, 1, Pudukkottai Rd, opp. to Rohini Hospital, New Housing Unit, Thanjavur, Tamil Nadu 613007",613007,Arulananda Nagar,
863,Aarthi Scans And Labs,7164,"177, Trivandrum Rd, Vannarpettai, Tirunelveli, Tamil Nadu 627003",627003,Trivandrum Rd,
863,Aarthi Scans And Labs,7165,"Lakshmi complex, North High Ground, Palayamkottai, Tirunelveli, Tamil Nadu 627002",627002,Palayamkottai,
863,Aarthi Scans And Labs,7167,"17, CV Raman Rd, Anandapuram Puram, Alwarpet, Chennai, Tamil Nadu 600018",600004,ALWARPET,
863,Aarthi Scans And Labs,7168,"Near MM Theatre, 622, Thiruvottiyur High Rd, Tondiarpet, Chennai, Tamil Nadu 600021",600081,Tondiarpet,
863,Aarthi Scans And Labs,7169,"4, 10, Arcot Rd, Lakshmi Nagar, Porur, Chennai, Tamil Nadu 600116",600116,Porur,
863,Aarthi Scans And Labs,7171,"5/536, Velachery Road, Ranganathapuram, Medavakkam, Chennai, Tamil Nadu.-60010",600100,Velachery Road,
863,Aarthi Scans And Labs,7172,"SK complex, 14, Thiruvalluvar Salai, Kaikuppam, Alwartirunagar, West Jafferkhanpet, Chennai, Tamil Nadu 600087",600087,Alwar Thirunagar,
863,Aarthi Scans And Labs,7384,"Shop No. A1- at Sarvoday Mall, Patri pool, Kalyan - Shilphata Rd, opp. New APMC Market, Kalyan, Maharashtra 421301",421301,New APMC Market,
863,Aarthi Scans And Labs,7587,"Sivanta, General Arun Kumar Vaidya Road, Ramabai Ambedkar Nagar, Khopat, Thane West, Thane, Maharashtra. 20 m from Morya Property Real Estate pin-400601 (India)",400601,Thane West,
863,Aarthi Scans And Labs,7596,"1Ground floor,siddharatha city center 122, lebutala bowbazar, Moula ali, West Bengal 700014",700014,Moula ali,
863,Aarthi Scans And Labs,7597,"174/8, Gandhi Colony, Netaji Nagar, Kolkata, West Bengal 700040",700040,Netaji Nagar,
863,Aarthi Scans And Labs,7666,"C-1, Anand Vihar, Vikas Marg Extension Next to RBL bank and, opp. Pushpanjali Medical Centre, Delhi ",110095,KARKARDOOMA,
863,Aarthi Scans And Labs,7667,"H-NO 1/91,Bachupally Village & Mandal, Medchal, Malkajgiri, Hyderabad, Telangana 500090",500090,Bachupally,
863,Aarthi Scans And Labs,7861,"47/1, 80 Feet Main Road, Muneshwara Nagar, Padmanabhanagar, Bengaluru, Karnataka. 4 m from Titan Eye Plus pin-560070 (India)",560070,Padmanabhanagar,
863,Aarthi Scans And Labs,8065,"258, Watkins Street, Perambur, Chennai, Tamil Nadu. 8 m from LKS Jewels pin-600011 (India)",600081,Perambur,
863,Aarthi Scans And Labs,8742,"Plot No.141, Sector 15, part-2, Gurugram, Haryana 122001 Near Alpine Hospital, Gurugram Haryana",122001,Sector 10A,
863,Aarthi Scans And Labs,10691,"NO 17, C V Raman Road,",600018,ALWARPET,
863,Aarthi Scans And Labs,10696,"A Square Building,22-86 Sy.No 211,Kanukunta,Ramchandrapuram,Dist",500050,BHEL Chandannagar,
863,Aarthi Scans And Labs,10698,"D No:8,6-115-2-16,beside RELIANCE TRENDS,B.N redday nagar",500070,BN REDDY NAGAR,
863,Aarthi Scans And Labs,10700,"Sagar Enclaves ,Surya Nagar,Sy.no188B,Quthbullapur",500054,CHINTAL,
863,Aarthi Scans And Labs,10702,"16-11-740/S, Maruti Complex, Gaddiannaram Rd, Dilsukh Nagar",500082,DILSUKH NAGAR,
863,Aarthi Scans And Labs,10703,"Plot No.141, Sector 15, part-2, Near Alpine Hospital",122001,Gurugram,
863,Aarthi Scans And Labs,10704,"581 Lakshmi Nivasam,5th main road, Bellary Rd, Hebbal, Karnataka 560024",560024,Hebbal,
863,Aarthi Scans And Labs,10706,"C1/2, Lal Sai Mandir Marg, opposite Mata Chanan Devi Hospital, Block C1",110058,JANAKPURI,
863,Aarthi Scans And Labs,10708,"C-1, Anand Vihar, Vikas Marg Extension Next to RBL bank and, opp. Pushpanjali Medical Centre",110058,"KARKADOOMA, DELHI",
863,Aarthi Scans And Labs,10710,"Srivari Complex , No. 8 & 9 Bavani Nagar , 100Feet road, Near Retteri junction,kolathur,Chennai 600 099",600099,KOLATHUR,
863,Aarthi Scans And Labs,10711,"63/3,2-14/C,Ground Floor,Mythri Square,Opp.Sarath City mall,kondapur",500084,KONDAPUR,
863,Aarthi Scans And Labs,10716,"4, Dr Thangaraj Rd, Mellur, K K Nagar, Tallakulam, Tamil Nadu",625020,MADURAI,
863,Aarthi Scans And Labs,10720,"Siddharth City Center,Municipal Premises No:122,Lenin Sarani,Previously Dharmatolla Street",700013,MOULALI,
